map 1 width=14 height=10 theme=forest
600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600
600, 400, 300, 300, 300, 400, 400, 400, 400, 400, 400, 400, 400, 600
600, 400, 300, 300, 300, 400, 400, 400, 200, 200, 200, 200, 400, 600
600, 405, 300, 300, 300, 405, 400, 400, 200, 400, 100, 200, 400, 600
600, 400, 400, 200, 200, 200, 200, 200, 200, 400, 405, 200, 400, 600
600, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 200, 400, 600
600, 400, 400, 400, 400, 400, 400, 400, 400, 400, 100, 200, 400, 600
600, 400, 400, 400, 400, 200, 200, 200, 200, 200, 200, 200, 400, 600
600, 400, 400, 400, 400, 200, 100, 400, 400, 400, 400, 400, 400, 600
600, 600, 600, 600, 600, 200, 600, 600, 600, 600, 600, 600, 600, 600
map 2 width=14 height=10 theme=forest
400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400
400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 300, 300, 300, 400
400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 300, 300, 300, 400
400, 100, 400, 405, 405, 100, 100, 400, 400, 100, 300, 300, 300, 400
400, 100, 405, 200, 200, 200, 200, 200, 200, 200, 200, 200, 100, 400
400, 100, 100, 200, 405, 401, 405, 401, 400, 400, 400, 400, 400, 400
400, 100, 100, 200, 405, 401, 405, 100, 400, 400, 400, 400, 400, 400
400, 100, 400, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200
400, 100, 401, 405, 100, 100, 100, 100, 100, 100, 100, 100, 100, 400
400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400
map 3 width=14 height=10 theme=forest
100, 300, 300, 300, 100, 402, 402, 402, 402, 100, 100, 100, 100, 100
100, 300, 300, 300, 100, 402, 402, 402, 402, 100, 401, 200, 200, 200
100, 300, 300, 300, 100, 402, 402, 402, 402, 100, 401, 200, 100, 100
100, 400, 200, 401, 100, 100, 402, 402, 100, 100, 401, 200, 100, 100
100, 100, 200, 401, 401, 401, 100, 100, 401, 401, 401, 200, 100, 100
